donor	receiver	compound	rate	mass_rate	community	medium
Clostridium_hiranonis_TO_931_DSM_13275	Eubacterium_rectale_ATCC_33656	M_nh4__91__e__93__	0.6749113371220842	0.01217425317240929	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Blautia_hydrogenotrophica_DSM_10507	M_succ__91__e__93__	0.09758803269604062	0.011327238131094828	all	LB_extend
Eggerthella_lenta_DSM_2243	Bacteroides_thetaiotaomicron_VPI_5482	M_h2o__91__e__93__	0.5986871539590327	0.010785468816002768	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Eubacterium_rectale_ATCC_33656	M_lac_L__91__e__93__	0.11623774069209204	0.0103532723158965	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Eggerthella_lenta_DSM_2243	M_succ__91__e__93__	0.08631249107058248	0.010018463463544649	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Eggerthella_lenta_DSM_2243	M_co2__91__e__93__	0.22092120961980877	0.009722631974762976	all	LB_extend
Eggerthella_lenta_DSM_2243	Collinsella_aerofaciens_ATCC_25986	M_h__91__e__93__	9.44693956741802	0.009521570390000622	all	LB_extend
Eggerthella_lenta_DSM_2243	environment	M_h2o__91__e__93__	0.520612980804511	0.009378946971789428	all	LB_extend
Eggerthella_lenta_DSM_2243	Bacteroides_thetaiotaomicron_VPI_5482	M_ac__91__e__93__	0.11709413877661187	0.006913694620512393	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Prevotella_copri_CB7_DSM_18205	M_glu_L__91__e__93__	0.04650076089680948	0.006794737683002697	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Collinsella_aerofaciens_ATCC_25986	M_ac__91__e__93__	0.10213224767452697	0.006030286218470002	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Bacteroides_ovatus_ATCC_8483	M_lac_D__91__e__93__	0.06033057697476308	0.005373632425026753	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Eubacterium_rectale_ATCC_33656	M_nh4__91__e__93__	0.28995136025654944	0.005230229621715716	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_alaleu__91__e__93__	0.025595422997851894	0.005176676860857846	all	LB_extend
Eubacterium_rectale_ATCC_33656	Bacteroides_ovatus_ATCC_8483	M_czp__91__e__93__	0.015174003465490691	0.004790596773292839	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Eggerthella_lenta_DSM_2243	M_nzp__91__e__93__	0.016386318310132725	0.004608909289922298	all	LB_extend
Eubacterium_rectale_ATCC_33656	Bacteroides_thetaiotaomicron_VPI_5482	M_ac__91__e__93__	0.07548988253761778	0.00445721707556285	all	LB_extend
Bacteroides_ovatus_ATCC_8483	Eubacterium_rectale_ATCC_33656	M_7a_czp__91__e__93__	0.015174003465490691	0.004335634627387032	all	LB_extend
environment	Faecalibacterium_prausnitzii_A2_165	M_ade__91__e__93__	0.0318292619114934	0.004300976759683414	all	LB_extend
Eggerthella_lenta_DSM_2243	Blautia_hydrogenotrophica_DSM_10507	M_pi__91__e__93__	0.04401646766762163	0.004224669755210957	all	LB_extend
Eggerthella_lenta_DSM_2243	Collinsella_aerofaciens_ATCC_25986	M_anzp__91__e__93__	0.016386318310132725	0.004117598308029589	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_alaleu__91__e__93__	0.018105697074713028	0.0036618790439304177	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Blautia_hydrogenotrophica_DSM_10507	M_nh4__91__e__93__	0.1976668550817729	0.0035655740320215444	all	LB_extend
Prevotella_copri_CB7_DSM_18205	Bacteroides_thetaiotaomicron_VPI_5482	M_ac__91__e__93__	0.05191090405371791	0.0030650222278573148	all	LB_extend
Eggerthella_lenta_DSM_2243	Prevotella_copri_CB7_DSM_18205	M_h2o__91__e__93__	0.1526313573253724	0.002749684428488049	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Bacteroides_thetaiotaomicron_VPI_5482	M_h2o__91__e__93__	0.1322023837275375	0.002381652383328334	all	LB_extend
Eubacterium_rectale_ATCC_33656	Blautia_hydrogenotrophica_DSM_10507	M_ala_L__91__e__93__	0.026280131463762298	0.0023413731244878284	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Blautia_hydrogenotrophica_DSM_10507	M_hxan__91__e__93__	0.016931588636339586	0.002304580540357408	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Eubacterium_rectale_ATCC_33656	M_glu_L__91__e__93__	0.015531113123625165	0.0022694217807372324	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Blautia_hydrogenotrophica_DSM_10507	M_leu_L__91__e__93__	0.016813496304890665	0.0022054666627036403	all	LB_extend
Bacteroides_ovatus_ATCC_8483	Collinsella_aerofaciens_ATCC_25986	M_ac__91__e__93__	0.037059416305770324	0.002188132470416272	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	environment	M_h2o__91__e__93__	0.1149620074636924	0.0020710635568599116	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Clostridium_hiranonis_TO_931_DSM_13275	M_ala_L__91__e__93__	0.022571340092379683	0.002010946145716374	all	LB_extend
Eubacterium_rectale_ATCC_33656	Faecalibacterium_prausnitzii_A2_165	M_czp__91__e__93__	0.0061941652408712715	0.001955564863527662	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Eggerthella_lenta_DSM_2243	M_lac_L__91__e__93__	0.02130849693618978	0.001897943560407037	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_lys_L__91__e__93__	0.012784711832618248	0.0018818443797310597	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_val_L__91__e__93__	0.015776307570995865	0.0018481297490811246	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Eubacterium_rectale_ATCC_33656	M_7a_czp__91__e__93__	0.0061941652408712715	0.0017698452071106185	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Eggerthella_lenta_DSM_2243	M_nh4__91__e__93__	0.09798011006119142	0.0017673946193167893	all	LB_extend
Eubacterium_rectale_ATCC_33656	Collinsella_aerofaciens_ATCC_25986	M_gln_L__91__e__93__	0.011992574445597254	0.0017526439990348096	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_arg_L__91__e__93__	0.009698062566127708	0.0016991810555048732	all	LB_extend
Bacteroides_ovatus_ATCC_8483	Eggerthella_lenta_DSM_2243	M_co2__91__e__93__	0.03821795199659362	0.0016819529583940874	all	LB_extend
environment	Bacteroides_thetaiotaomicron_VPI_5482	M_o2__91__e__93__	0.05192910653297526	0.0016616690941273688	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Eggerthella_lenta_DSM_2243	M_hxan__91__e__93__	0.011760785753061437	0.001600775837870671	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_alathr__91__e__93__	0.008297406022831681	0.0015781375846215058	all	LB_extend
Bacteroides_ovatus_ATCC_8483	Clostridium_hiranonis_TO_931_DSM_13275	M_fru__91__e__93__	0.008565453905651539	0.0015431127745542154	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Blautia_hydrogenotrophica_DSM_10507	M_nh4__91__e__93__	0.08492044859253393	0.0015318205278467049	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_pi__91__e__93__	0.015229776595345123	0.001461743296777608	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_ile_L__91__e__93__	0.01082992153592051	0.0014205867996783797	all	LB_extend
Eubacterium_rectale_ATCC_33656	Clostridium_hiranonis_TO_931_DSM_13275	M_co2__91__e__93__	0.032239069370345395	0.0014188253234542157	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_o2__91__e__93__	0.04234175340684806	0.0013548852989150497	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_metala__91__e__93__	0.0060234141618014025	0.0013268894729234046	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_2obut__91__e__93__	0.012854119538397662	0.0012993008300010048	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_metala__91__e__93__	0.005261491731875949	0.001159046647526528	all	LB_extend
Eggerthella_lenta_DSM_2243	Clostridium_hiranonis_TO_931_DSM_13275	M_h2o__91__e__93__	0.058366271657879776	0.001051480057171036	all	LB_extend
Eggerthella_lenta_DSM_2243	Collinsella_aerofaciens_ATCC_25986	M_pi__91__e__93__	0.010222988994791517	0.0009811953276277934	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_arg_L__91__e__93__	0.00559745087925788	0.0009807198528882784	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_pro_L__91__e__93__	0.00825726418858027	0.0009506596517576653	all	LB_extend
Prevotella_copri_CB7_DSM_18205	Bacteroides_thetaiotaomicron_VPI_5482	M_nzp__91__e__93__	0.0033097723703380453	0.0009309254425837898	all	LB_extend
